"","Human.Symbol","Homologene_ID","None","Mouse.Symbol","hg19","mm10"
"mm10_Tfap2e","TFAP2E",2422,"yes","Tfap2e","hg19_TFAP2E","mm10_Tfap2e"
"mm10_Tfap4","TFAP4",2424,"yes","Tfap4","hg19_TFAP4","mm10_Tfap4"
"mm10_Tfb1m","TFB1M",9343,"yes","Tfb1m","hg19_TFB1M","mm10_Tfb1m"
"mm10_Tfb2m","TFB2M",7362,"yes","Tfb2m","hg19_TFB2M","mm10_Tfb2m"
"mm10_Tfcp2","TFCP2",4134,"yes","Tfcp2","hg19_TFCP2","mm10_Tfcp2"
"mm10_Tfcp2l1","TFCP2L1",8730,"yes","Tfcp2l1","hg19_TFCP2L1","mm10_Tfcp2l1"
"mm10_Tfdp1","TFDP1",38276,"yes","Tfdp1","hg19_TFDP1","mm10_Tfdp1"
"mm10_Tfdp2","TFDP2",4578,"yes","Tfdp2","hg19_TFDP2","mm10_Tfdp2"
"mm10_Tfe3","TFE3",4755,"yes","Tfe3","hg19_TFE3","mm10_Tfe3"
"mm10_Tfeb","TFEB",5182,"yes","Tfeb","hg19_TFEB","mm10_Tfeb"
"mm10_Tfec","TFEC",32148,"yes","Tfec","hg19_TFEC","mm10_Tfec"
"mm10_Tff1","TFF1",2426,"yes","Tff1","hg19_TFF1","mm10_Tff1"
"mm10_Tff2","TFF2",3956,"yes","Tff2","hg19_TFF2","mm10_Tff2"
"mm10_Tff3","TFF3",2427,"yes","Tff3","hg19_TFF3","mm10_Tff3"
"mm10_Tfg","TFG",4426,"yes","Tfg","hg19_TFG","mm10_Tfg"
"mm10_Tfip11","TFIP11",40813,"yes","Tfip11","hg19_TFIP11","mm10_Tfip11"
"mm10_Tfpi","TFPI",4579,"yes","Tfpi","hg19_TFPI","mm10_Tfpi"
"mm10_Tfpi2","TFPI2",38194,"yes","Tfpi2","hg19_TFPI2","mm10_Tfpi2"
"mm10_Tfpt","TFPT",8349,"yes","Tfpt","hg19_TFPT","mm10_Tfpt"
"mm10_Tfr2","TFR2",2428,"yes","Tfr2","hg19_TFR2","mm10_Tfr2"
"mm10_Tfrc","TFRC",2429,"yes","Tfrc","hg19_TFRC","mm10_Tfrc"
"mm10_Tg","TG",2430,"yes","Tg","hg19_TG","mm10_Tg"
"mm10_Tgds","TGDS",129708,"yes","Tgds","hg19_TGDS","mm10_Tgds"
"mm10_Tgfa","TGFA",2431,"yes","Tgfa","hg19_TGFA","mm10_Tgfa"
"mm10_Tgfb1","TGFB1",540,"yes","Tgfb1","hg19_TGFB1","mm10_Tgfb1"
"mm10_Tgfb1i1","TGFB1I1",7572,"yes","Tgfb1i1","hg19_TGFB1I1","mm10_Tgfb1i1"
"mm10_Tgfb2","TGFB2",2432,"yes","Tgfb2","hg19_TGFB2","mm10_Tgfb2"
"mm10_Tgfb3","TGFB3",2433,"yes","Tgfb3","hg19_TGFB3","mm10_Tgfb3"
"mm10_Tgfbi","TGFBI",37294,"yes","Tgfbi","hg19_TGFBI","mm10_Tgfbi"
"mm10_Tgfbr1","TGFBR1",3177,"yes","Tgfbr1","hg19_TGFBR1","mm10_Tgfbr1"
"mm10_Tgfbr2","TGFBR2",2435,"yes","Tgfbr2","hg19_TGFBR2","mm10_Tgfbr2"
"mm10_Tgfbr3","TGFBR3",2436,"yes","Tgfbr3","hg19_TGFBR3","mm10_Tgfbr3"
"mm10_Tgfbr3l","TGFBR3L",130375,"yes","Tgfbr3l","hg19_TGFBR3L","mm10_Tgfbr3l"
"mm10_Tgfbrap1","TGFBRAP1",3141,"yes","Tgfbrap1","hg19_TGFBRAP1","mm10_Tgfbrap1"
"mm10_Tgif1","TGIF1",7574,"yes","Tgif1","hg19_TGIF1","mm10_Tgif1"
"mm10_Tgif2","TGIF2",32514,"yes","Tgif2","hg19_TGIF2","mm10_Tgif2"
"mm10_Tgif2lx1","TGIF2LX",51391,"yes","Tgif2lx1","hg19_TGIF2LX","mm10_Tgif2lx1"
"mm10_Tgm1","TGM1",306,"yes","Tgm1","hg19_TGM1","mm10_Tgm1"
"mm10_Tgm2","TGM2",3391,"yes","Tgm2","hg19_TGM2","mm10_Tgm2"
"mm10_Tgm3","TGM3",20690,"yes","Tgm3","hg19_TGM3","mm10_Tgm3"
"mm10_Tgm4","TGM4",20689,"yes","Tgm4","hg19_TGM4","mm10_Tgm4"
"mm10_Tgm5","TGM5",20899,"yes","Tgm5","hg19_TGM5","mm10_Tgm5"
"mm10_Tgm6","TGM6",27970,"yes","Tgm6","hg19_TGM6","mm10_Tgm6"
"mm10_Tgm7","TGM7",14192,"yes","Tgm7","hg19_TGM7","mm10_Tgm7"
"mm10_Tgoln2","TGOLN2",NA,"yes","Tgoln2","hg19_TGOLN2","mm10_Tgoln2"
"mm10_Tgs1","TGS1",32608,"yes","Tgs1","hg19_TGS1","mm10_Tgs1"
"mm10_Th","TH",307,"yes","Th","hg19_TH","mm10_Th"
"mm10_Tha1","THA1P",57081,"yes","Tha1","hg19_THA1P","mm10_Tha1"
"mm10_Thada","THADA",75175,"yes","Thada","hg19_THADA","mm10_Thada"
"mm10_Thap1","THAP1",10005,"yes","Thap1","hg19_THAP1","mm10_Thap1"
"mm10_Thap11","THAP11",10726,"yes","Thap11","hg19_THAP11","mm10_Thap11"
"mm10_Thap12","THAP12",37952,"yes","Thap12","hg19_THAP12","mm10_Thap12"
"mm10_Thap2","THAP2",12039,"yes","Thap2","hg19_THAP2","mm10_Thap2"
"mm10_Thap3","THAP3",18413,"yes","Thap3","hg19_THAP3","mm10_Thap3"
"mm10_Thap4","THAP4",12075,"yes","Thap4","hg19_THAP4","mm10_Thap4"
"mm10_Thap7","THAP7",12293,"yes","Thap7","hg19_THAP7","mm10_Thap7"
"mm10_Thbd","THBD",308,"yes","Thbd","hg19_THBD","mm10_Thbd"
"mm10_Thbs1","THBS1",31142,"yes","Thbs1","hg19_THBS1","mm10_Thbs1"
"mm10_Thbs2","THBS2",2438,"yes","Thbs2","hg19_THBS2","mm10_Thbs2"
"mm10_Thbs3","THBS3",5159,"yes","Thbs3","hg19_THBS3","mm10_Thbs3"
"mm10_Thbs4","THBS4",20691,"yes","Thbs4","hg19_THBS4","mm10_Thbs4"
"mm10_Theg","THEG",7976,"yes","Theg","hg19_THEG","mm10_Theg"
"mm10_Thegl","THEGL",128474,"yes","Thegl","hg19_THEGL","mm10_Thegl"
"mm10_Them4","THEM4",14208,"yes","Them4","hg19_THEM4","mm10_Them4"
"mm10_Them5","THEM5",11931,"yes","Them5","hg19_THEM5","mm10_Them5"
"mm10_Them6","THEM6",105296,"yes","Them6","hg19_THEM6","mm10_Them6"
"mm10_Them7","THEM7P",105742,"yes","Them7","hg19_THEM7P","mm10_Them7"
"mm10_Themis","THEMIS",72287,"yes","Themis","hg19_THEMIS","mm10_Themis"
"mm10_Themis2","THEMIS2",21009,"yes","Themis2","hg19_THEMIS2","mm10_Themis2"
"mm10_Themis3","THEMIS3P",137389,"yes","Themis3","hg19_THEMIS3P","mm10_Themis3"
"mm10_Thg1l","THG1L",5959,"yes","Thg1l","hg19_THG1L","mm10_Thg1l"
"mm10_Thnsl1","THNSL1",32609,"yes","Thnsl1","hg19_THNSL1","mm10_Thnsl1"
"mm10_Thnsl2","THNSL2",5489,"yes","Thnsl2","hg19_THNSL2","mm10_Thnsl2"
"mm10_Thoc1","THOC1",38012,"yes","Thoc1","hg19_THOC1","mm10_Thoc1"
"mm10_Thoc2","THOC2",69669,"yes","Thoc2","hg19_THOC2","mm10_Thoc2"
"mm10_Thoc3","THOC3",12505,"yes","Thoc3","hg19_THOC3","mm10_Thoc3"
"mm10_Thoc5","THOC5",37836,"yes","Thoc5","hg19_THOC5","mm10_Thoc5"
"mm10_Thoc6","THOC6",11533,"yes","Thoc6","hg19_THOC6","mm10_Thoc6"
"mm10_Thoc7","THOC7",11821,"yes","Thoc7","hg19_THOC7","mm10_Thoc7"
"mm10_Thop1","THOP1",55726,"yes","Thop1","hg19_THOP1","mm10_Thop1"
"mm10_Thpo","THPO",398,"yes","Thpo","hg19_THPO","mm10_Thpo"
"mm10_Thra","THRA",37747,"yes","Thra","hg19_THRA","mm10_Thra"
"mm10_Thrap3","THRAP3",31289,"yes","Thrap3","hg19_THRAP3","mm10_Thrap3"
"mm10_Thrb","THRB",36025,"yes","Thrb","hg19_THRB","mm10_Thrb"
"mm10_Thrsp","THRSP",2441,"yes","Thrsp","hg19_THRSP","mm10_Thrsp"
"mm10_Thsd1","THSD1",10264,"yes","Thsd1","hg19_THSD1","mm10_Thsd1"
"mm10_Thsd4","THSD4",49796,"yes","Thsd4","hg19_THSD4","mm10_Thsd4"
"mm10_Thsd7a","THSD7A",46582,"yes","Thsd7a","hg19_THSD7A","mm10_Thsd7a"
"mm10_Thsd7b","THSD7B",18180,"yes","Thsd7b","hg19_THSD7B","mm10_Thsd7b"
"mm10_Thtpa","THTPA",17691,"yes","Thtpa","hg19_THTPA","mm10_Thtpa"
"mm10_Thumpd1","THUMPD1",5878,"yes","Thumpd1","hg19_THUMPD1","mm10_Thumpd1"
"mm10_Thumpd2","THUMPD2",11898,"yes","Thumpd2","hg19_THUMPD2","mm10_Thumpd2"
"mm10_Thumpd3","THUMPD3",7351,"yes","Thumpd3","hg19_THUMPD3","mm10_Thumpd3"
"mm10_Gt(ROSA)26Sor","THUMPD3-AS1",NA,"yes","Gt(ROSA)26Sor","hg19_THUMPD3-AS1","mm10_Gt(ROSA)26Sor"
"mm10_Thy1","THY1",4580,"yes","Thy1","hg19_THY1","mm10_Thy1"
"mm10_Thyn1","THYN1",8575,"yes","Thyn1","hg19_THYN1","mm10_Thyn1"
"mm10_Tia1","TIA1",20692,"yes","Tia1","hg19_TIA1","mm10_Tia1"
"mm10_Tial1","TIAL1",87796,"yes","Tial1","hg19_TIAL1","mm10_Tial1"
"mm10_Tiam1","TIAM1",2443,"yes","Tiam1","hg19_TIAM1","mm10_Tiam1"
"mm10_Tiam2","TIAM2",40796,"yes","Tiam2","hg19_TIAM2","mm10_Tiam2"
"mm10_Ticam1","TICAM1",8605,"yes","Ticam1","hg19_TICAM1","mm10_Ticam1"
"mm10_Ticam2","TICAM2",11014,"yes","Ticam2","hg19_TICAM2","mm10_Ticam2"
"mm10_Ticrr","TICRR",67120,"yes","Ticrr","hg19_TICRR","mm10_Ticrr"
"mm10_Tie1","TIE1",3957,"yes","Tie1","hg19_TIE1","mm10_Tie1"
"mm10_Tifa","TIFA",14161,"yes","Tifa","hg19_TIFA","mm10_Tifa"
"mm10_Tifab","TIFAB",27087,"yes","Tifab","hg19_TIFAB","mm10_Tifab"
"mm10_Tigar","TIGAR",32473,"yes","Tigar","hg19_TIGAR","mm10_Tigar"
"mm10_Tigd2","TIGD2",129603,"yes","Tigd2","hg19_TIGD2","mm10_Tigd2"
"mm10_Tigd3","TIGD3",129795,"yes","Tigd3","hg19_TIGD3","mm10_Tigd3"
"mm10_Tigd4","TIGD4",131124,"yes","Tigd4","hg19_TIGD4","mm10_Tigd4"
"mm10_Tigd5","TIGD5",129878,"yes","Tigd5","hg19_TIGD5","mm10_Tigd5"
"mm10_Tigit","TIGIT",18358,"yes","Tigit","hg19_TIGIT","mm10_Tigit"
"mm10_Timd4","TIMD4",51381,"yes","Timd4","hg19_TIMD4","mm10_Timd4"
"mm10_Timeless","TIMELESS",31206,"yes","Timeless","hg19_TIMELESS","mm10_Timeless"
"mm10_Timm10","TIMM10",40845,"yes","Timm10","hg19_TIMM10","mm10_Timm10"
"mm10_Timm10b","TIMM10B",8142,"yes","Timm10b","hg19_TIMM10B","mm10_Timm10b"
"mm10_Timm13","TIMM13",40846,"yes","Timm13","hg19_TIMM13","mm10_Timm13"
"mm10_Timm17a","TIMM17A",115910,"yes","Timm17a","hg19_TIMM17A","mm10_Timm17a"
"mm10_Timm17b","TIMM17B",4620,"yes","Timm17b","hg19_TIMM17B","mm10_Timm17b"
"mm10_Timm21","TIMM21",32211,"yes","Timm21","hg19_TIMM21","mm10_Timm21"
"mm10_Timm22","TIMM22",32173,"yes","Timm22","hg19_TIMM22","mm10_Timm22"
"mm10_Timm23","TIMM23",9651,"yes","Timm23","hg19_TIMM23","mm10_Timm23"
"mm10_Timm29","TIMM29",34702,"yes","Timm29","hg19_TIMM29","mm10_Timm29"
"mm10_Timm44","TIMM44",4631,"yes","Timm44","hg19_TIMM44","mm10_Timm44"
"mm10_Timm50","TIMM50",57031,"yes","Timm50","hg19_TIMM50","mm10_Timm50"
"mm10_Timm8a1","TIMM8A",37878,"yes","Timm8a1","hg19_TIMM8A","mm10_Timm8a1"
"mm10_Timm8b","TIMM8B",8262,"yes","Timm8b","hg19_TIMM8B","mm10_Timm8b"
"mm10_Timm9","TIMM9",40847,"yes","Timm9","hg19_TIMM9","mm10_Timm9"
"mm10_Timmdc1","TIMMDC1",9578,"yes","Timmdc1","hg19_TIMMDC1","mm10_Timmdc1"
"mm10_Timp1","TIMP1",36321,"yes","Timp1","hg19_TIMP1","mm10_Timp1"
"mm10_Timp2","TIMP2",2444,"yes","Timp2","hg19_TIMP2","mm10_Timp2"
"mm10_Timp3","TIMP3",36322,"yes","Timp3","hg19_TIMP3","mm10_Timp3"
"mm10_Timp4","TIMP4",37748,"yes","Timp4","hg19_TIMP4","mm10_Timp4"
"mm10_Tinag","TINAG",8082,"yes","Tinag","hg19_TINAG","mm10_Tinag"
"mm10_Tinagl1","TINAGL1",41472,"yes","Tinagl1","hg19_TINAGL1","mm10_Tinagl1"
"mm10_Gm20219","TINCR",NA,"yes","Gm20219","hg19_TINCR","mm10_Gm20219"
"mm10_Tinf2","TINF2",8264,"yes","Tinf2","hg19_TINF2","mm10_Tinf2"
"mm10_Tiparp","TIPARP",9167,"yes","Tiparp","hg19_TIPARP","mm10_Tiparp"
"mm10_Tipin","TIPIN",32373,"yes","Tipin","hg19_TIPIN","mm10_Tipin"
"mm10_Tiprl","TIPRL",7140,"yes","Tiprl","hg19_TIPRL","mm10_Tiprl"
"mm10_Tirap","TIRAP",14285,"yes","Tirap","hg19_TIRAP","mm10_Tirap"
"mm10_Tjap1","TJAP1",12534,"yes","Tjap1","hg19_TJAP1","mm10_Tjap1"
"mm10_Tjp1","TJP1",2445,"yes","Tjp1","hg19_TJP1","mm10_Tjp1"
"mm10_Tjp2","TJP2",3541,"yes","Tjp2","hg19_TJP2","mm10_Tjp2"
"mm10_Tjp3","TJP3",8458,"yes","Tjp3","hg19_TJP3","mm10_Tjp3"
"mm10_Tk1","TK1",37749,"yes","Tk1","hg19_TK1","mm10_Tk1"
"mm10_Tk2","TK2",3392,"yes","Tk2","hg19_TK2","mm10_Tk2"
"mm10_Tkfc","TKFC",56710,"yes","Tkfc","hg19_TKFC","mm10_Tkfc"
"mm10_Tkt","TKT",68154,"yes","Tkt","hg19_TKT","mm10_Tkt"
"mm10_Tktl1","TKTL1",8169,"yes","Tktl1","hg19_TKTL1","mm10_Tktl1"
"mm10_Tktl2","TKTL2",69456,"yes","Tktl2","hg19_TKTL2","mm10_Tktl2"
"mm10_Tlcd1","TLCD1",12263,"yes","Tlcd1","hg19_TLCD1","mm10_Tlcd1"
"mm10_Tlcd2","TLCD2",57070,"yes","Tlcd2","hg19_TLCD2","mm10_Tlcd2"
"mm10_Tldc2","TLDC2",31961,"yes","Tldc2","hg19_TLDC2","mm10_Tldc2"
"mm10_Tle1","TLE1",21058,"yes","Tle1","hg19_TLE1","mm10_Tle1"
"mm10_Tle2","TLE2",20693,"yes","Tle2","hg19_TLE2","mm10_Tle2"
"mm10_Tle3","TLE3",21059,"yes","Tle3","hg19_TLE3","mm10_Tle3"
"mm10_Tle4","TLE4",38259,"yes","Tle4","hg19_TLE4","mm10_Tle4"
"mm10_Tle6","TLE6",11701,"yes","Tle6","hg19_TLE6","mm10_Tle6"
"mm10_Gm21964","TLE7",131708,"yes","Gm21964","hg19_TLE7","mm10_Gm21964"
"mm10_Tlk1","TLK1",130657,"yes","Tlk1","hg19_TLK1","mm10_Tlk1"
"mm10_Tlk2","TLK2",4993,"yes","Tlk2","hg19_TLK2","mm10_Tlk2"
"mm10_Tll1","TLL1",49202,"yes","Tll1","hg19_TLL1","mm10_Tll1"
"mm10_Tll2","TLL2",56545,"yes","Tll2","hg19_TLL2","mm10_Tll2"
"mm10_Tln1","TLN1",21267,"yes","Tln1","hg19_TLN1","mm10_Tln1"
"mm10_Tln2","TLN2",56692,"yes","Tln2","hg19_TLN2","mm10_Tln2"
"mm10_Tlnrd1","TLNRD1",11209,"yes","Tlnrd1","hg19_TLNRD1","mm10_Tlnrd1"
"mm10_Tlr1","TLR1",20694,"yes","Tlr1","hg19_TLR1","mm10_Tlr1"
"mm10_Tlr12","TLR12P",135964,"yes","Tlr12","hg19_TLR12P","mm10_Tlr12"
"mm10_Tlr2","TLR2",20695,"yes","Tlr2","hg19_TLR2","mm10_Tlr2"
"mm10_Tlr3","TLR3",20696,"yes","Tlr3","hg19_TLR3","mm10_Tlr3"
"mm10_Tlr4","TLR4",41317,"yes","Tlr4","hg19_TLR4","mm10_Tlr4"
"mm10_Tlr5","TLR5",20698,"yes","Tlr5","hg19_TLR5","mm10_Tlr5"
"mm10_Tlr6","TLR6",21223,"yes","Tlr6","hg19_TLR6","mm10_Tlr6"
"mm10_Tlr7","TLR7",75060,"yes","Tlr7","hg19_TLR7","mm10_Tlr7"
"mm10_Tlr8","TLR8",44054,"yes","Tlr8","hg19_TLR8","mm10_Tlr8"
"mm10_Tlr9","TLR9",68126,"yes","Tlr9","hg19_TLR9","mm10_Tlr9"
"mm10_Tlx1","TLX1",4031,"yes","Tlx1","hg19_TLX1","mm10_Tlx1"
"mm10_Tlx2","TLX2",7575,"yes","Tlx2","hg19_TLX2","mm10_Tlx2"
"mm10_Tlx3","TLX3",23181,"yes","Tlx3","hg19_TLX3","mm10_Tlx3"
"mm10_Tm2d1","TM2D1",12928,"yes","Tm2d1","hg19_TM2D1","mm10_Tm2d1"
"mm10_Tm2d2","TM2D2",12328,"yes","Tm2d2","hg19_TM2D2","mm10_Tm2d2"
"mm10_Tm2d3","TM2D3",12275,"yes","Tm2d3","hg19_TM2D3","mm10_Tm2d3"
"mm10_Tm4sf1","TM4SF1",7409,"yes","Tm4sf1","hg19_TM4SF1","mm10_Tm4sf1"
"mm10_Tm4sf19","TM4SF19",64632,"yes","Tm4sf19","hg19_TM4SF19","mm10_Tm4sf19"
"mm10_Tm4sf20","TM4SF20",11722,"yes","Tm4sf20","hg19_TM4SF20","mm10_Tm4sf20"
"mm10_Tm4sf4","TM4SF4",3393,"yes","Tm4sf4","hg19_TM4SF4","mm10_Tm4sf4"
"mm10_Tm4sf5","TM4SF5",2947,"yes","Tm4sf5","hg19_TM4SF5","mm10_Tm4sf5"
"mm10_Tm6sf1","TM6SF1",11305,"yes","Tm6sf1","hg19_TM6SF1","mm10_Tm6sf1"
"mm10_Tm6sf2","TM6SF2",77694,"yes","Tm6sf2","hg19_TM6SF2","mm10_Tm6sf2"
"mm10_Tm7sf2","TM7SF2",68305,"yes","Tm7sf2","hg19_TM7SF2","mm10_Tm7sf2"
"mm10_Tm7sf3","TM7SF3",9560,"yes","Tm7sf3","hg19_TM7SF3","mm10_Tm7sf3"
"mm10_Tm9sf1","TM9SF1",4671,"yes","Tm9sf1","hg19_TM9SF1","mm10_Tm9sf1"
"mm10_Tm9sf2","TM9SF2",21004,"yes","Tm9sf2","hg19_TM9SF2","mm10_Tm9sf2"
"mm10_Tm9sf3","TM9SF3",10588,"yes","Tm9sf3","hg19_TM9SF3","mm10_Tm9sf3"
"mm10_Tm9sf4","TM9SF4",21620,"yes","Tm9sf4","hg19_TM9SF4","mm10_Tm9sf4"
"mm10_Tma16","TMA16",10146,"yes","Tma16","hg19_TMA16","mm10_Tma16"
"mm10_Tma7","TMA7",41078,"yes","Tma7","hg19_TMA7","mm10_Tma7"
"mm10_Tmbim1","TMBIM1",36404,"yes","Tmbim1","hg19_TMBIM1","mm10_Tmbim1"
"mm10_Tmbim4","TMBIM4",56740,"yes","Tmbim4","hg19_TMBIM4","mm10_Tmbim4"
"mm10_Tmbim6","TMBIM6",2419,"yes","Tmbim6","hg19_TMBIM6","mm10_Tmbim6"
"mm10_Tmbim7","TMBIM7P",81927,"yes","Tmbim7","hg19_TMBIM7P","mm10_Tmbim7"
"mm10_Tmc1","TMC1",23670,"yes","Tmc1","hg19_TMC1","mm10_Tmc1"
"mm10_Tmc2","TMC2",25877,"yes","Tmc2","hg19_TMC2","mm10_Tmc2"
"mm10_Tmc3","TMC3",45588,"yes","Tmc3","hg19_TMC3","mm10_Tmc3"
"mm10_Tmc4","TMC4",16971,"yes","Tmc4","hg19_TMC4","mm10_Tmc4"
"mm10_Tmc5","TMC5",11713,"yes","Tmc5","hg19_TMC5","mm10_Tmc5"
"mm10_Tmc6","TMC6",5258,"yes","Tmc6","hg19_TMC6","mm10_Tmc6"
"mm10_Tmc7","TMC7",36424,"yes","Tmc7","hg19_TMC7","mm10_Tmc7"
"mm10_Tmc8","TMC8",45126,"yes","Tmc8","hg19_TMC8","mm10_Tmc8"
"mm10_Tmcc1","TMCC1",8995,"yes","Tmcc1","hg19_TMCC1","mm10_Tmcc1"
"mm10_Tmcc2","TMCC2",8905,"yes","Tmcc2","hg19_TMCC2","mm10_Tmcc2"
"mm10_Tmcc3","TMCC3",10792,"yes","Tmcc3","hg19_TMCC3","mm10_Tmcc3"
"mm10_Tmco1","TMCO1",10384,"yes","Tmco1","hg19_TMCO1","mm10_Tmco1"
"mm10_Tmco2","TMCO2",77950,"yes","Tmco2","hg19_TMCO2","mm10_Tmco2"
"mm10_Tmco3","TMCO3",32376,"yes","Tmco3","hg19_TMCO3","mm10_Tmco3"
"mm10_Tmco4","TMCO4",57112,"yes","Tmco4","hg19_TMCO4","mm10_Tmco4"
"mm10_Tmco5","TMCO5A",41661,"yes","Tmco5","hg19_TMCO5A","mm10_Tmco5"
"mm10_Tmco6","TMCO6",12431,"yes","Tmco6","hg19_TMCO6","mm10_Tmco6"
"mm10_Tmed1","TMED1",21360,"yes","Tmed1","hg19_TMED1","mm10_Tmed1"
"mm10_Tmed10","TMED10",4972,"yes","Tmed10","hg19_TMED10","mm10_Tmed10"
"mm10_Tmed11","TMED11P",48721,"yes","Tmed11","hg19_TMED11P","mm10_Tmed11"
"mm10_Tmed2","TMED2",55991,"yes","Tmed2","hg19_TMED2","mm10_Tmed2"
"mm10_Tmed3","TMED3",7213,"yes","Tmed3","hg19_TMED3","mm10_Tmed3"
"mm10_Tmed4","TMED4",5308,"yes","Tmed4","hg19_TMED4","mm10_Tmed4"
"mm10_Tmed5","TMED5",4996,"yes","Tmed5","hg19_TMED5","mm10_Tmed5"
"mm10_Tmed6","TMED6",11938,"yes","Tmed6","hg19_TMED6","mm10_Tmed6"
"mm10_Tmed7","TMED7",45644,"yes","Tmed7","hg19_TMED7","mm10_Tmed7"
"mm10_Tmed8","TMED8",19600,"yes","Tmed8","hg19_TMED8","mm10_Tmed8"
"mm10_Tmed9","TMED9",68707,"yes","Tmed9","hg19_TMED9","mm10_Tmed9"
"mm10_Tmeff1","TMEFF1",130458,"yes","Tmeff1","hg19_TMEFF1","mm10_Tmeff1"
"mm10_Tmeff2","TMEFF2",9417,"yes","Tmeff2","hg19_TMEFF2","mm10_Tmeff2"
"mm10_Tmem100","TMEM100",10110,"yes","Tmem100","hg19_TMEM100","mm10_Tmem100"
"mm10_Tmem101","TMEM101",12649,"yes","Tmem101","hg19_TMEM101","mm10_Tmem101"
"mm10_Tmem102","TMEM102",86820,"yes","Tmem102","hg19_TMEM102","mm10_Tmem102"
"mm10_Tmem104","TMEM104",9802,"yes","Tmem104","hg19_TMEM104","mm10_Tmem104"
"mm10_Tmem106a","TMEM106A",16996,"yes","Tmem106a","hg19_TMEM106A","mm10_Tmem106a"
"mm10_Tmem106b","TMEM106B",56806,"yes","Tmem106b","hg19_TMEM106B","mm10_Tmem106b"
"mm10_Tmem106c","TMEM106C",11440,"yes","Tmem106c","hg19_TMEM106C","mm10_Tmem106c"
"mm10_Tmem107","TMEM107",12052,"yes","Tmem107","hg19_TMEM107","mm10_Tmem107"
"mm10_Tmem108","TMEM108",18688,"yes","Tmem108","hg19_TMEM108","mm10_Tmem108"
"mm10_Tmem109","TMEM109",11458,"yes","Tmem109","hg19_TMEM109","mm10_Tmem109"
"mm10_Tmem11","TMEM11",2879,"yes","Tmem11","hg19_TMEM11","mm10_Tmem11"
"mm10_Tmem114","TMEM114",12583,"yes","Tmem114","hg19_TMEM114","mm10_Tmem114"
"mm10_Tmem115","TMEM115",135207,"yes","Tmem115","hg19_TMEM115","mm10_Tmem115"
"mm10_Tmem116","TMEM116",12676,"yes","Tmem116","hg19_TMEM116","mm10_Tmem116"
"mm10_Tmem117","TMEM117",12992,"yes","Tmem117","hg19_TMEM117","mm10_Tmem117"
"mm10_Tmem119","TMEM119",17145,"yes","Tmem119","hg19_TMEM119","mm10_Tmem119"
"mm10_Tmem120a","TMEM120A",12907,"yes","Tmem120a","hg19_TMEM120A","mm10_Tmem120a"
"mm10_Tmem120b","TMEM120B",62404,"yes","Tmem120b","hg19_TMEM120B","mm10_Tmem120b"
"mm10_Tmem121","TMEM121",11900,"yes","Tmem121","hg19_TMEM121","mm10_Tmem121"
"mm10_Tmem121b","TMEM121B",12893,"yes","Tmem121b","hg19_TMEM121B","mm10_Tmem121b"
"mm10_Tmem123","TMEM123",14177,"yes","Tmem123","hg19_TMEM123","mm10_Tmem123"
"mm10_Tmem125","TMEM125",16952,"yes","Tmem125","hg19_TMEM125","mm10_Tmem125"
"mm10_Tmem126a","TMEM126A",11939,"yes","Tmem126a","hg19_TMEM126A","mm10_Tmem126a"
"mm10_Tmem126b","TMEM126B",10222,"yes","Tmem126b","hg19_TMEM126B","mm10_Tmem126b"
"mm10_Tmem127","TMEM127",9877,"yes","Tmem127","hg19_TMEM127","mm10_Tmem127"
"mm10_Tmem128","TMEM128",11944,"yes","Tmem128","hg19_TMEM128","mm10_Tmem128"
"mm10_Tmem129","TMEM129",44528,"yes","Tmem129","hg19_TMEM129","mm10_Tmem129"
"mm10_Tmem130","TMEM130",17680,"yes","Tmem130","hg19_TMEM130","mm10_Tmem130"
"mm10_Tmem131","TMEM131",32428,"yes","Tmem131","hg19_TMEM131","mm10_Tmem131"
"mm10_Tmem131l","TMEM131L",9057,"yes","Tmem131l","hg19_TMEM131L","mm10_Tmem131l"
"mm10_Tmem132a","TMEM132A",75076,"yes","Tmem132a","hg19_TMEM132A","mm10_Tmem132a"
"mm10_Tmem132b","TMEM132B",28135,"yes","Tmem132b","hg19_TMEM132B","mm10_Tmem132b"
"mm10_Tmem132c","TMEM132C",76567,"yes","Tmem132c","hg19_TMEM132C","mm10_Tmem132c"
"mm10_Tmem132d","TMEM132D",71684,"yes","Tmem132d","hg19_TMEM132D","mm10_Tmem132d"
"mm10_Tmem132e","TMEM132E",41524,"yes","Tmem132e","hg19_TMEM132E","mm10_Tmem132e"
"mm10_Tmem134","TMEM134",11837,"yes","Tmem134","hg19_TMEM134","mm10_Tmem134"
"mm10_Tmem135","TMEM135",11295,"yes","Tmem135","hg19_TMEM135","mm10_Tmem135"
"mm10_Tmem136","TMEM136",72560,"yes","Tmem136","hg19_TMEM136","mm10_Tmem136"
"mm10_Tmem138","TMEM138",9518,"yes","Tmem138","hg19_TMEM138","mm10_Tmem138"
"mm10_Tmem139","TMEM139",51920,"yes","Tmem139","hg19_TMEM139","mm10_Tmem139"
"mm10_Tmem140","TMEM140",10116,"yes","Tmem140","hg19_TMEM140","mm10_Tmem140"
"mm10_Tmem141","TMEM141",75339,"yes","Tmem141","hg19_TMEM141","mm10_Tmem141"
